,date,time,open,high,low,close,volume
265,20161129,0,802000,815000,801000,801000,56621
266,20161128,0,802000,815000,792000,808000,76152
267,20161125,0,810000,817000,802000,805000,124784
268,20161124,0,789000,805000,783000,802000,70341
269,20161123,0,795000,809000,792000,795000,75510
270,20161122,0,788000,813000,787000,810000,105354
271,20161121,0,771000,799000,759000,786000,147242
272,20161118,0,760000,773000,750000,771000,144474
273,20161117,0,748000,755000,743000,745000,99389
274,20161116,0,751000,759000,741000,751000,154996
275,20161115,0,746000,762000,739000,744000,133064
276,20161114,0,760000,779000,746000,746000,139465
277,20161111,0,781000,790000,757000,760000,214331
278,20161110,0,816000,819000,801000,806000,82529
279,20161109,0,826000,827000,784000,805000,124375
280,20161108,0,829000,838000,811000,815000,62904
281,20161107,0,798000,829000,795000,820000,99899
282,20161104,0,808000,810000,785000,789000,102475
283,20161103,0,826000,826000,812000,812000,68345
284,20161102,0,849000,850000,823000,826000,85366
285,20161101,0,860000,860000,832000,847000,224653
286,20161031,0,858000,866000,847000,857000,66212
287,20161028,0,871000,876000,855000,860000,80422
288,20161027,0,863000,883000,853000,859000,178398
289,20161026,0,827000,852000,827000,848000,71085
290,20161025,0,825000,843000,825000,837000,86741
291,20161024,0,826000,836000,826000,833000,135275
292,20161021,0,838000,840000,829000,831000,60552
293,20161020,0,830000,845000,826000,844000,116179
294,20161019,0,841000,845000,823000,829000,85601
295,20161018,0,854000,858000,838000,846000,81061
296,20161017,0,842000,857000,833000,851000,77721
297,20161014,0,831000,849000,831000,844000,56239
298,20161013,0,859000,863000,827000,827000,96099
299,20161012,0,870000,880000,862000,864000,64084
300,20161011,0,888000,894000,853000,862000,70122
301,20161010,0,853000,880000,848000,872000,69249
302,20161007,0,860000,861000,834000,843000,75928
303,20161006,0,869000,874000,852000,861000,54843
304,20161005,0,853000,875000,851000,867000,66523
305,20161004,0,883000,884000,850000,858000,109200
306,20160930,0,886000,888000,859000,883000,172513
307,20160929,0,890000,903000,887000,900000,77187
308,20160928,0,886000,895000,884000,887000,54783
309,20160927,0,876000,890000,866000,884000,80703
310,20160926,0,879000,884000,869000,876000,42051
311,20160923,0,882000,882000,861000,878000,74094
312,20160922,0,867000,874000,855000,873000,112398
313,20160921,0,836000,864000,836000,855000,108756
314,20160920,0,858000,867000,835000,836000,109454
315,20160919,0,853000,870000,845000,856000,117354
316,20160913,0,850000,851000,833000,841000,69669
317,20160912,0,835000,843000,831000,840000,69512
318,20160909,0,852000,860000,841000,847000,83335
319,20160908,0,869000,872000,851000,869000,78393
