[005930] RL:dqn Net:dnn LR:0.001 DF:0.9 TU:[1,1]
[005930][Epoch 036/100] Epsilon:0.4179 #Expl.:251/618 #Buy:95 #Sell:89 #Hold:434 #Stocks:6 PV:19,118,393 Loss:0.212781 ET:0.3762
[005930][Epoch 037/100] Epsilon:0.4050 #Expl.:261/618 #Buy:95 #Sell:88 #Hold:435 #Stocks:7 PV:17,909,752 Loss:0.192276 ET:0.3726
[005930][Epoch 038/100] Epsilon:0.3922 #Expl.:237/618 #Buy:91 #Sell:83 #Hold:444 #Stocks:8 PV:20,764,518 Loss:0.222879 ET:0.3700
[005930][Epoch 039/100] Epsilon:0.3797 #Expl.:255/618 #Buy:84 #Sell:77 #Hold:457 #Stocks:7 PV:18,232,365 Loss:0.143890 ET:0.3743
[005930][Epoch 040/100] Epsilon:0.3673 #Expl.:223/618 #Buy:87 #Sell:80 #Hold:451 #Stocks:7 PV:19,981,629 Loss:0.166613 ET:0.3715
[005930][Epoch 041/100] Epsilon:0.3552 #Expl.:209/618 #Buy:76 #Sell:69 #Hold:473 #Stocks:7 PV:18,888,798 Loss:0.134973 ET:0.3789
[005930][Epoch 042/100] Epsilon:0.3432 #Expl.:231/618 #Buy:95 #Sell:88 #Hold:435 #Stocks:7 PV:17,971,784 Loss:0.133550 ET:0.3757
[005930][Epoch 043/100] Epsilon:0.3315 #Expl.:206/618 #Buy:74 #Sell:67 #Hold:477 #Stocks:7 PV:18,047,173 Loss:0.134781 ET:0.4670
[005930][Epoch 044/100] Epsilon:0.3200 #Expl.:192/618 #Buy:76 #Sell:69 #Hold:473 #Stocks:7 PV:19,166,601 Loss:0.148384 ET:0.3755
[005930][Epoch 045/100] Epsilon:0.3086 #Expl.:197/618 #Buy:73 #Sell:68 #Hold:477 #Stocks:5 PV:18,154,897 Loss:0.143802 ET:0.3732
[005930][Epoch 046/100] Epsilon:0.2975 #Expl.:186/618 #Buy:63 #Sell:56 #Hold:499 #Stocks:7 PV:18,559,191 Loss:0.170880 ET:0.3800
