[005930] RL:dqn Net:dnn LR:0.001 DF:0.9 TU:[1,1]
[005930][Epoch 001/100] Epsilon:1.0000 #Expl.:618/618 #Buy:184 #Sell:184 #Hold:250 #Stocks:0 PV:14,131,593 Loss:0.053839 ET:0.3952
[005930][Epoch 002/100] Epsilon:0.9799 #Expl.:604/618 #Buy:175 #Sell:171 #Hold:272 #Stocks:4 PV:12,396,305 Loss:0.023556 ET:0.4276
[005930][Epoch 003/100] Epsilon:0.9600 #Expl.:591/618 #Buy:172 #Sell:171 #Hold:275 #Stocks:1 PV:14,488,251 Loss:0.043238 ET:0.6011
[005930][Epoch 004/100] Epsilon:0.9403 #Expl.:575/618 #Buy:171 #Sell:167 #Hold:280 #Stocks:4 PV:12,128,185 Loss:0.015383 ET:0.4383
[005930][Epoch 005/100] Epsilon:0.9208 #Expl.:574/618 #Buy:181 #Sell:181 #Hold:256 #Stocks:0 PV:11,913,109 Loss:0.010457 ET:0.4387
[005930][Epoch 006/100] Epsilon:0.9015 #Expl.:560/618 #Buy:179 #Sell:179 #Hold:260 #Stocks:0 PV:11,085,257 Loss:0.009158 ET:0.4368
[005930][Epoch 007/100] Epsilon:0.8825 #Expl.:539/618 #Buy:194 #Sell:190 #Hold:234 #Stocks:4 PV:13,027,429 Loss:0.020321 ET:0.4369
[005930][Epoch 008/100] Epsilon:0.8636 #Expl.:547/618 #Buy:164 #Sell:164 #Hold:290 #Stocks:0 PV:10,531,009 Loss:0.004690 ET:0.4398
[005930][Epoch 009/100] Epsilon:0.8449 #Expl.:527/618 #Buy:158 #Sell:157 #Hold:303 #Stocks:1 PV:10,771,650 Loss:0.008626 ET:0.4330
[005930][Epoch 010/100] Epsilon:0.8264 #Expl.:513/618 #Buy:184 #Sell:184 #Hold:250 #Stocks:0 PV:10,451,064 Loss:0.008053 ET:0.4757
[005930][Epoch 011/100] Epsilon:0.8082 #Expl.:499/618 #Buy:176 #Sell:173 #Hold:269 #Stocks:3 PV:11,501,470 Loss:0.012456 ET:0.3587
[005930][Epoch 012/100] Epsilon:0.7901 #Expl.:498/618 #Buy:161 #Sell:161 #Hold:296 #Stocks:0 PV:12,029,423 Loss:0.016781 ET:0.4269
[005930][Epoch 013/100] Epsilon:0.7723 #Expl.:478/618 #Buy:162 #Sell:162 #Hold:294 #Stocks:0 PV:10,983,258 Loss:0.016226 ET:0.4315
[005930][Epoch 014/100] Epsilon:0.7546 #Expl.:470/618 #Buy:167 #Sell:166 #Hold:285 #Stocks:1 PV:10,013,473 Loss:0.015949 ET:0.4443
[005930][Epoch 015/100] Epsilon:0.7372 #Expl.:455/618 #Buy:157 #Sell:157 #Hold:304 #Stocks:0 PV:10,053,598 Loss:0.017108 ET:0.4410
[005930][Epoch 016/100] Epsilon:0.7199 #Expl.:438/618 #Buy:147 #Sell:145 #Hold:326 #Stocks:2 PV:11,151,133 Loss:0.014617 ET:0.4444
[005930][Epoch 017/100] Epsilon:0.7029 #Expl.:436/618 #Buy:165 #Sell:162 #Hold:291 #Stocks:3 PV:10,566,661 Loss:0.012021 ET:0.4658
[005930][Epoch 018/100] Epsilon:0.6861 #Expl.:425/618 #Buy:131 #Sell:131 #Hold:356 #Stocks:0 PV:16,917,079 Loss:0.100214 ET:0.4740
[005930][Epoch 019/100] Epsilon:0.6694 #Expl.:420/618 #Buy:133 #Sell:132 #Hold:353 #Stocks:1 PV:13,760,202 Loss:0.025867 ET:0.4447
[005930][Epoch 020/100] Epsilon:0.6530 #Expl.:419/618 #Buy:118 #Sell:114 #Hold:386 #Stocks:4 PV:12,192,041 Loss:0.018748 ET:0.4592
[005930][Epoch 021/100] Epsilon:0.6368 #Expl.:402/618 #Buy:120 #Sell:116 #Hold:382 #Stocks:4 PV:13,497,041 Loss:0.033950 ET:0.3510
[005930][Epoch 022/100] Epsilon:0.6208 #Expl.:383/618 #Buy:117 #Sell:114 #Hold:387 #Stocks:3 PV:12,996,883 Loss:0.030858 ET:0.5079
[005930][Epoch 023/100] Epsilon:0.6049 #Expl.:379/618 #Buy:104 #Sell:100 #Hold:414 #Stocks:4 PV:12,673,121 Loss:0.028651 ET:0.4227
[005930][Epoch 024/100] Epsilon:0.5893 #Expl.:370/618 #Buy:101 #Sell:98 #Hold:419 #Stocks:3 PV:11,893,895 Loss:0.033123 ET:0.4334
[005930][Epoch 025/100] Epsilon:0.5739 #Expl.:356/618 #Buy:105 #Sell:102 #Hold:411 #Stocks:3 PV:12,734,089 Loss:0.035463 ET:0.5189
[005930][Epoch 026/100] Epsilon:0.5587 #Expl.:344/618 #Buy:106 #Sell:102 #Hold:410 #Stocks:4 PV:13,526,603 Loss:0.037711 ET:0.4570
[005930][Epoch 027/100] Epsilon:0.5437 #Expl.:352/618 #Buy:114 #Sell:114 #Hold:390 #Stocks:0 PV:17,288,315 Loss:0.082988 ET:0.4967
[005930][Epoch 028/100] Epsilon:0.5289 #Expl.:350/618 #Buy:90 #Sell:90 #Hold:438 #Stocks:0 PV:12,024,431 Loss:0.042095 ET:0.4967
